[2026-08-23 02:41:10.851544] ====================================================================================================
[2026-08-23 02:41:10.851644] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=16000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=None)
[2026-08-23 02:41:10.851708] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 02:41:10.851740] ====================================================================================================
[2026-08-23 02:41:10.851774] Running PyTorch 2.13.0+cu130 compiled for CUDA 13.0
[2026-08-23 02:41:10.851800] ====================================================================================================
[2026-08-23 02:41:10.956336] rules OK: 4 rules uniquely cover 19 params x [0, 16000) steps
[2026-08-23 02:41:11.209422] step:0/16000 val_loss:6.38892 train_time:0.000s step_avg:0.06ms
[2026-08-23 02:41:14.748621] step:200/16000 rolling_loss:3.35959 val_loss:3.21516 train_time:3.275s step_avg:16.38ms
[2026-08-23 02:41:18.303841] step:400/16000 rolling_loss:3.07857 val_loss:3.05723 train_time:6.564s step_avg:16.41ms
[2026-08-23 02:41:21.850600] step:600/16000 rolling_loss:2.98329 val_loss:2.99078 train_time:9.844s step_avg:16.41ms
[2026-08-23 02:41:25.396169] step:800/16000 rolling_loss:2.97436 val_loss:2.95360 train_time:13.126s step_avg:16.41ms
[2026-08-23 02:41:28.951767] step:1000/16000 rolling_loss:2.90230 val_loss:2.93207 train_time:16.415s step_avg:16.42ms
[2026-08-23 02:41:32.508616] step:1200/16000 rolling_loss:2.88904 val_loss:2.91811 train_time:19.707s step_avg:16.42ms
[2026-08-23 02:41:36.066609] step:1400/16000 rolling_loss:2.87631 val_loss:2.88500 train_time:22.999s step_avg:16.43ms
[2026-08-23 02:41:39.618577] step:1600/16000 rolling_loss:2.87623 val_loss:2.88372 train_time:26.287s step_avg:16.43ms
[2026-08-23 02:41:43.173740] step:1800/16000 rolling_loss:2.85656 val_loss:2.86631 train_time:29.577s step_avg:16.43ms
[2026-08-23 02:41:46.734270] step:2000/16000 rolling_loss:2.83894 val_loss:2.86172 train_time:32.873s step_avg:16.44ms
[2026-08-23 02:41:50.292535] step:2200/16000 rolling_loss:2.82299 val_loss:2.85040 train_time:36.165s step_avg:16.44ms
[2026-08-23 02:41:53.849694] step:2400/16000 rolling_loss:2.82625 val_loss:2.84592 train_time:39.456s step_avg:16.44ms
[2026-08-23 02:41:57.408412] step:2600/16000 rolling_loss:2.83711 val_loss:2.86625 train_time:42.748s step_avg:16.44ms
[2026-08-23 02:42:00.967828] step:2800/16000 rolling_loss:2.85407 val_loss:2.84288 train_time:46.040s step_avg:16.44ms
[2026-08-23 02:42:04.526700] step:3000/16000 rolling_loss:2.82306 val_loss:2.83691 train_time:49.334s step_avg:16.44ms
[2026-08-23 02:42:08.152346] step:3200/16000 rolling_loss:2.81286 val_loss:2.83761 train_time:52.695s step_avg:16.47ms
[2026-08-23 02:42:11.721844] step:3400/16000 rolling_loss:2.80460 val_loss:2.83227 train_time:55.998s step_avg:16.47ms
[2026-08-23 02:42:15.287141] step:3600/16000 rolling_loss:2.75611 val_loss:2.87359 train_time:59.295s step_avg:16.47ms
[2026-08-23 02:42:18.853590] step:3800/16000 rolling_loss:2.80212 val_loss:2.82492 train_time:62.596s step_avg:16.47ms
[2026-08-23 02:42:22.419594] step:4000/16000 rolling_loss:2.80205 val_loss:2.81556 train_time:65.896s step_avg:16.47ms
[2026-08-23 02:42:25.991388] step:4200/16000 rolling_loss:2.79404 val_loss:2.81480 train_time:69.201s step_avg:16.48ms
[2026-08-23 02:42:29.557976] step:4400/16000 rolling_loss:2.77286 val_loss:2.81321 train_time:72.502s step_avg:16.48ms
[2026-08-23 02:42:33.138473] step:4600/16000 rolling_loss:2.77358 val_loss:2.79874 train_time:75.816s step_avg:16.48ms
[2026-08-23 02:42:36.722082] step:4800/16000 rolling_loss:2.79172 val_loss:2.81275 train_time:79.132s step_avg:16.49ms
[2026-08-23 02:42:40.301770] step:5000/16000 rolling_loss:2.78223 val_loss:2.79756 train_time:82.444s step_avg:16.49ms
[2026-08-23 02:42:43.876916] step:5200/16000 rolling_loss:2.79954 val_loss:2.79816 train_time:85.752s step_avg:16.49ms
[2026-08-23 02:42:47.452483] step:5400/16000 rolling_loss:2.78837 val_loss:2.80364 train_time:89.060s step_avg:16.49ms
[2026-08-23 02:42:51.034401] step:5600/16000 rolling_loss:2.77645 val_loss:2.78999 train_time:92.375s step_avg:16.50ms
[2026-08-23 02:42:54.612885] step:5800/16000 rolling_loss:2.75158 val_loss:2.78701 train_time:95.686s step_avg:16.50ms
[2026-08-23 02:42:58.190584] step:6000/16000 rolling_loss:2.76841 val_loss:2.78470 train_time:98.996s step_avg:16.50ms
[2026-08-23 02:43:01.821438] step:6200/16000 rolling_loss:2.76132 val_loss:2.78143 train_time:102.360s step_avg:16.51ms
[2026-08-23 02:43:05.400858] step:6400/16000 rolling_loss:2.75215 val_loss:2.77386 train_time:105.672s step_avg:16.51ms
[2026-08-23 02:43:08.985486] step:6600/16000 rolling_loss:2.74560 val_loss:2.77511 train_time:108.988s step_avg:16.51ms
[2026-08-23 02:43:12.567500] step:6800/16000 rolling_loss:2.76212 val_loss:2.78456 train_time:112.304s step_avg:16.52ms
[2026-08-23 02:43:16.152709] step:7000/16000 rolling_loss:2.77528 val_loss:2.76823 train_time:115.621s step_avg:16.52ms
[2026-08-23 02:43:19.748210] step:7200/16000 rolling_loss:2.75858 val_loss:2.76519 train_time:118.948s step_avg:16.52ms
[2026-08-23 02:43:23.338517] step:7400/16000 rolling_loss:2.77235 val_loss:2.77410 train_time:122.271s step_avg:16.52ms
