[2026-08-23 09:24:09.773203] ====================================================================================================
[2026-08-23 09:24:09.773311] Branching from: experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02 step=1000 branch_specs=['continue']
[2026-08-23 09:24:09.773359] Config: TrainConfig(data_source='data/fineweb10B_v500', train_steps=8000, report_steps=200, seq_len=1024, val_size=2097152, batch_size=32768, mbs=32, vocab_size=500, num_layers=1, model_dim=192, train_data_pattern='fineweb_train_*.bin', val_data_pattern='fineweb_val_*.bin', seed=1337, model_type='gpt', expansion_ratio=4.0, head_dim=64, num_heads=3, embed_dim=None, num_tokens=None, zero_proj_init=False, lr_cooldown_frac=0.7, geon_eps=1e-10, geon_s_min=1e-05, geon_s_max=100000.0, checkpoint_steps=[0, 1, 10, 100, 500, 1000, 2000, 4000, 6000, 8000])
[2026-08-23 09:24:09.773425] Rules: [Rule(name='embed', patterns=['embed.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.3, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='proj', patterns=['proj.weight'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.003125, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='one_d', patterns=['*.bias', '*.gains'], start=0, end=None, update='adamw', sizing='learning_rate', lr=0.01, betas=(0.8, 0.95), nesterov=False, wd_raw=0.0, coeff=1.0, warmup_steps=0), Rule(name='two_d', patterns=['blocks.*.attn.*.weight', 'blocks.*.mlp.*.weight'], start=0, end=None, update='muon', sizing='learning_rate', lr=0.02, betas=(0.9, 0.95), nesterov=False, wd_raw=0.0002, coeff=1.0, warmup_steps=0)]
[2026-08-23 09:24:09.773453] end_step: 1000
[2026-08-23 09:24:09.773479] ====================================================================================================
[2026-08-23 09:24:09.843455]   [compile] trunk: 0.01s
[2026-08-23 09:24:09.887149] loaded checkpoint experiments/exp000_muon_and_adamw/muon/seed_1337/rules.two_d.lr_0.02/checkpoints/step_1000.pt at step 1000
[2026-08-23 09:24:09.887622] forking at step 1000 ...
[2026-08-23 09:24:10.132672]   [branch @ step 1000] pre-fork val_loss=2.93134
[2026-08-23 09:24:10.132898]   [branch @ step 1000] 'continue' (index=0) -> {'rules.two_d.update': 'muon', 'rules.two_d.sizing': 'learning_rate', 'rules.two_d.lr': 0.02, 'rules.two_d.betas': [0.9, 0.95], 'rules.two_d.nesterov': False, 'rules.two_d.wd_raw': 0.0002}
[2026-08-23 09:24:10.150996]   [compile] continue: 0.01s
[2026-08-23 09:24:10.163152]   [branch @ step 1000] checkpointed branches at step=1000
[2026-08-23 09:24:10.459639]     [branch @ step 1000] 'continue' iter=0 applied train_loss=2.96543 kl=0.00279749 scale=1.0000 post_val_loss=2.93104
[2026-08-23 09:24:10.468067]   [branch @ step 1000] checkpointed branches at step=1001
[2026-08-23 09:24:10.771360]     [branch @ step 1000] 'continue' iter=1 applied train_loss=2.97997 kl=0.00177741 scale=1.0000 post_val_loss=2.93096
[2026-08-23 09:24:10.777625]   [branch @ step 1000] checkpointed branches at step=1002
[2026-08-23 09:24:11.085232]     [branch @ step 1000] 'continue' iter=2 applied train_loss=2.93256 kl=0.0026103 scale=1.0000 post_val_loss=2.93004
[2026-08-23 09:24:11.092654]   [branch @ step 1000] checkpointed branches at step=1003
[2026-08-23 09:24:11.394775]     [branch @ step 1000] 'continue' iter=3 applied train_loss=2.79735 kl=0.00203876 scale=1.0000 post_val_loss=2.92796
[2026-08-23 09:24:11.401050]   [branch @ step 1000] checkpointed branches at step=1004
[2026-08-23 09:24:11.704021]     [branch @ step 1000] 'continue' iter=4 applied train_loss=2.95969 kl=0.00166463 scale=1.0000 post_val_loss=2.92528
[2026-08-23 09:24:11.710312]   [branch @ step 1000] checkpointed branches at step=1005
[2026-08-23 09:24:12.017408]     [branch @ step 1000] 'continue' iter=5 applied train_loss=2.99928 kl=0.00288596 scale=1.0000 post_val_loss=2.92288
[2026-08-23 09:24:12.026412]   [branch @ step 1000] checkpointed branches at step=1006
[2026-08-23 09:24:12.329611]     [branch @ step 1000] 'continue' iter=6 applied train_loss=2.96095 kl=0.00187726 scale=1.0000 post_val_loss=2.92474
[2026-08-23 09:24:12.335915]   [branch @ step 1000] checkpointed branches at step=1007
[2026-08-23 09:24:12.637823]     [branch @ step 1000] 'continue' iter=7 applied train_loss=2.84518 kl=0.00173692 scale=1.0000 post_val_loss=2.92582
[2026-08-23 09:24:12.644096]   [branch @ step 1000] checkpointed branches at step=1008
[2026-08-23 09:24:12.948101]     [branch @ step 1000] 'continue' iter=8 applied train_loss=2.85073 kl=0.00198623 scale=1.0000 post_val_loss=2.92535
[2026-08-23 09:24:12.954345]   [branch @ step 1000] checkpointed branches at step=1009
[2026-08-23 09:24:13.261491]     [branch @ step 1000] 'continue' iter=9 applied train_loss=2.91799 kl=0.00176266 scale=1.0000 post_val_loss=2.92297
[2026-08-23 09:24:13.267899]   [branch @ step 1000] checkpointed branches at step=1010
